State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,6.80,7.30,6.40,7.20,8.90,10.60,14.10,13.80,11.00,9.20,9.70,8.10,7.20,7.00,6.80,7.30,7.60,7.30,6.20,6.00,5.20,5.00,4.40,4.70,4.60,5.10,5.90,6.00,5.70,4.50,4.00,4.00,5.70,11.00,10.50
2,7.60,9.90,10.60,9.30,9.60,9.40,9.90,9.90,9.80,9.70,10.90,10.30,8.80,7.00,7.20,8.50,8.90,7.70,7.60,7.30,7.60,7.10,6.30,6.50,6.40,6.40,7.30,7.80,7.50,6.90,6.60,6.30,6.70,7.70,7.90
4,9.70,8.20,6.00,5.10,6.60,6.20,10.10,8.80,5.20,6.30,6.90,6.50,6.40,5.30,5.30,5.90,7.50,6.40,6.10,5.30,5.60,4.60,4.30,4.40,4.00,4.80,6.10,5.70,5.00,4.70,4.20,3.90,6.20,9.90,10.40
5,7.00,6.50,6.20,6.20,7.60,8.70,9.90,9.90,8.70,8.70,8.60,8.10,7.60,7.00,6.90,7.40,7.10,6.10,5.40,4.80,5.30,5.20,5.20,4.60,4.30,5.00,5.50,5.90,5.70,5.20,5.20,5.30,5.50,7.80,8.20
6,9.10,8.30,7.20,6.20,6.80,7.40,10.00,9.80,7.80,7.20,6.70,5.80,5.30,5.10,5.80,7.70,9.30,9.50,8.60,7.90,7.30,6.40,5.90,5.20,4.90,5.40,6.70,6.80,6.20,5.40,4.90,5.40,7.30,11.20,12.20
8,5.80,6.40,5.50,4.70,5.80,5.70,7.30,7.10,5.40,6.10,7.50,7.50,6.50,5.70,5.20,5.30,6.00,5.30,4.20,4.00,4.20,3.50,3.60,3.10,2.80,3.80,5.50,6.00,5.50,5.00,4.30,3.70,4.80,7.30,8.70
9,9.30,7.00,5.20,5.10,5.80,6.20,6.90,6.00,4.70,4.70,3.80,3.40,3.00,3.80,5.10,6.50,7.60,6.60,5.60,5.50,5.50,5.00,3.40,2.90,2.40,3.10,4.30,5.40,5.00,4.90,4.30,4.50,5.70,7.90,9.10
10,8.80,8.50,7.40,7.20,7.60,7.80,8.40,7.70,6.30,5.10,4.30,3.10,3.10,3.50,4.70,6.20,5.40,5.10,4.80,4.30,5.10,4.00,3.70,3.40,3.70,3.50,4.00,4.30,4.00,4.10,3.60,3.40,4.90,8.30,8.40
11,9.00,9.20,8.30,7.00,7.40,8.90,10.40,11.20,9.10,8.10,7.50,6.30,5.00,4.90,6.30,7.80,8.60,8.50,8.00,8.80,8.40,8.00,8.40,6.40,5.60,6.30,6.40,6.80,7.80,6.40,5.80,5.50,6.50,9.30,9.40
12,9.20,8.20,6.70,5.90,6.10,6.70,8.40,8.50,6.40,6.00,5.80,5.30,5.10,5.60,6.10,7.50,8.20,7.10,6.40,5.50,5.20,4.80,4.30,3.90,3.70,4.70,5.60,5.20,4.60,3.70,3.20,4.00,6.30,10.40,11.10
13,8.20,6.90,5.70,5.10,6.30,6.40,7.80,7.70,6.10,6.40,6.00,5.70,5.70,5.50,5.50,5.20,6.90,6.00,5.20,4.80,4.70,4.60,4.30,3.90,3.60,4.00,5.00,4.80,4.80,5.30,4.70,4.50,6.20,9.90,10.50
15,9.40,7.90,7.10,6.10,5.00,5.40,6.30,6.20,5.70,5.40,4.80,3.80,3.20,2.50,2.70,2.90,4.30,4.50,5.50,5.90,6.30,6.20,6.10,5.40,4.20,4.50,4.20,4.10,3.40,2.90,2.60,2.80,4.30,7.20,6.90
16,5.60,5.80,5.40,5.80,7.50,7.70,9.90,8.90,7.30,7.90,8.40,7.60,6.00,5.30,5.50,6.20,6.40,6.00,5.40,5.40,5.30,5.10,5.10,4.90,4.70,5.10,5.60,5.60,4.90,4.00,3.50,3.10,5.10,8.80,9.00
17,6.60,6.20,6.00,5.50,8.20,8.50,11.40,11.80,9.00,9.10,8.30,7.40,6.70,6.00,6.10,7.30,7.90,7.40,5.80,5.20,5.30,4.80,4.40,4.40,4.30,5.30,6.50,6.80,6.20,5.70,4.50,5.00,6.30,10.20,10.40
18,6.10,5.80,5.60,6.50,9.60,9.90,12.00,11.20,8.60,7.80,6.90,6.20,5.20,4.90,5.30,6.00,6.60,5.40,4.90,4.60,4.10,3.50,3.10,3.00,3.10,4.20,5.20,5.30,5.40,5.50,5.00,4.60,5.90,10.30,10.40
19,4.00,3.90,3.90,4.20,6.00,6.60,8.50,8.10,7.00,7.50,6.80,5.50,4.50,4.20,4.40,4.70,4.50,4.00,3.50,3.40,3.50,3.10,2.70,2.60,2.60,3.30,4.00,4.50,4.50,4.30,3.70,3.70,4.20,6.40,6.00
20,4.20,3.90,3.10,3.20,4.40,4.30,6.30,5.90,4.90,5.10,5.30,4.80,4.50,4.20,4.30,4.40,4.50,5.00,4.90,4.40,4.30,3.80,3.50,3.30,3.60,4.20,5.10,5.50,5.50,5.00,4.40,4.20,4.60,6.90,7.10
21,5.40,4.80,5.10,5.50,8.00,8.60,10.80,11.40,9.30,9.20,9.40,8.50,7.60,6.40,6.00,7.30,6.90,6.20,5.40,5.40,5.50,5.30,4.60,4.50,4.20,5.20,5.70,6.10,5.40,5.90,5.70,5.40,6.40,10.30,10.20
22,6.70,7.10,6.80,6.60,6.90,8.40,10.30,11.50,10.10,11.60,12.80,12.10,10.80,8.00,6.20,7.30,8.00,7.60,7.80,7.00,6.60,6.00,5.70,5.10,5.30,5.70,6.10,6.40,5.90,7.20,4.50,4.30,4.90,6.80,8.00
23,8.70,8.30,6.40,6.80,7.60,7.40,8.40,8.30,6.20,5.50,5.30,4.40,3.60,4.00,5.30,7.50,7.30,7.30,7.00,6.00,5.20,5.10,4.50,4.00,3.40,3.80,4.30,5.00,4.60,4.90,4.60,4.70,5.50,8.10,8.10
24,6.60,6.30,5.50,5.80,6.60,7.30,8.30,7.00,5.40,4.60,4.60,4.40,4.30,3.80,4.50,6.10,6.80,6.20,5.30,5.00,5.00,5.00,4.40,3.60,3.60,4.00,4.40,4.40,4.30,4.10,3.90,3.50,4.20,7.00,7.70
25,9.60,7.80,6.20,5.50,5.60,6.50,7.70,6.80,4.80,4.00,3.90,3.20,3.30,4.20,6.30,8.60,8.50,7.00,6.00,5.30,4.40,3.90,3.30,3.20,2.70,3.70,5.30,5.70,5.10,4.80,4.90,4.60,5.50,8.10,8.30
26,9.40,8.20,7.00,7.80,12.30,12.40,15.40,14.40,11.20,10.00,8.80,8.30,7.50,7.10,7.60,9.20,9.00,7.20,6.00,5.30,4.90,4.30,3.90,3.70,3.60,5.20,6.30,7.20,7.00,6.80,7.00,7.00,8.00,13.70,12.60
27,5.80,5.30,3.90,4.20,5.80,5.80,7.90,8.00,6.30,6.00,5.50,5.10,4.30,4.30,4.80,5.10,5.10,5.00,4.10,3.70,4.00,3.30,2.70,2.80,3.20,3.80,4.50,4.90,4.70,4.10,4.00,4.60,5.40,7.80,7.40
28,6.60,7.30,6.90,5.70,7.40,8.50,11.10,12.10,10.50,10.40,11.40,10.00,8.40,7.80,7.60,8.50,8.10,6.60,6.30,6.20,6.00,5.70,5.30,5.10,5.40,5.50,6.60,6.30,6.20,7.50,6.50,6.10,6.60,9.50,10.40
29,6.20,6.00,4.90,4.80,7.20,7.60,9.20,9.90,7.20,6.50,6.20,6.30,5.70,5.50,5.80,6.60,6.20,6.20,5.10,4.70,4.80,4.30,4.20,3.30,3.60,4.60,5.40,5.60,5.90,5.40,4.80,5.10,6.10,9.30,9.60
30,6.00,6.30,5.70,5.20,6.10,6.80,8.50,8.60,7.60,7.70,7.90,7.40,6.60,5.80,6.00,6.90,6.70,6.00,5.20,5.70,5.30,5.30,5.50,5.30,5.00,4.50,4.40,4.70,4.80,4.40,3.50,3.60,5.10,6.80,7.30
31,3.20,3.40,3.10,3.00,3.90,4.20,5.60,5.60,4.50,5.20,5.00,4.40,3.60,2.90,2.30,2.70,2.90,2.80,2.60,2.60,2.70,2.50,2.60,2.80,2.80,3.10,3.60,3.90,3.90,3.80,3.10,3.00,3.30,4.60,4.60
32,8.80,6.70,4.50,4.90,6.20,7.20,9.90,9.60,7.90,7.70,6.20,6.10,5.20,4.70,4.70,5.80,6.70,6.80,6.20,5.60,5.00,4.40,4.20,4.00,4.20,5.20,5.60,5.10,4.30,4.10,4.00,4.50,6.70,11.30,13.50
33,6.50,5.40,3.80,3.20,4.50,5.20,6.80,5.50,4.30,3.70,2.80,2.30,2.40,3.50,5.70,7.30,7.30,6.10,4.70,4.00,3.80,3.30,2.80,2.70,2.70,3.40,4.50,4.30,3.80,3.60,3.40,3.50,3.90,6.20,5.80
34,10.40,9.40,7.30,6.90,7.20,7.40,8.70,8.00,6.20,5.60,5.00,4.10,3.80,4.10,5.00,6.70,8.40,7.60,6.80,6.40,6.10,5.30,4.60,4.50,3.70,4.30,5.80,5.80,4.80,4.50,4.70,4.30,5.30,9.10,9.50
35,8.90,7.60,5.90,6.40,7.60,7.30,9.20,9.70,7.80,8.30,9.30,8.70,7.50,6.70,6.60,7.10,7.20,7.00,6.50,6.60,7.20,6.30,6.10,5.60,4.90,4.90,5.50,5.90,5.50,5.10,4.20,3.80,4.50,7.50,8.10
36,10.20,9.10,7.80,7.20,7.50,7.60,8.50,8.70,7.20,6.60,6.20,4.90,4.30,5.00,5.30,7.20,8.60,7.90,6.90,6.30,6.20,6.40,5.60,5.20,4.50,4.80,6.10,6.40,5.80,5.00,4.50,4.60,5.40,8.30,8.60
37,6.30,5.90,4.50,4.80,6.40,6.50,9.20,9.00,6.70,5.60,5.30,4.50,3.60,3.50,4.10,5.80,6.00,5.00,4.40,4.30,4.30,3.70,3.50,3.20,3.70,5.50,6.60,6.40,5.50,5.20,4.70,4.70,6.10,10.60,10.90
38,3.70,4.50,4.30,4.00,4.90,4.80,5.60,5.70,5.30,5.70,5.90,5.00,4.70,4.30,4.00,4.40,4.70,4.30,3.70,3.20,2.90,2.70,2.90,3.30,3.00,2.90,3.70,3.70,3.40,3.40,3.20,3.10,3.20,4.10,3.80
39,7.80,6.50,5.50,5.80,8.40,9.40,12.70,12.40,9.50,8.90,8.30,7.10,6.00,5.50,5.60,6.50,7.40,6.60,5.60,4.80,5.00,4.60,4.30,4.30,4.00,4.30,5.70,6.20,6.30,5.90,5.40,5.60,6.40,10.30,10.30
40,5.70,4.90,3.60,3.40,4.40,3.60,6.00,8.40,7.10,7.20,8.20,7.30,6.40,5.60,5.70,6.30,6.00,5.90,5.60,4.60,4.10,4.10,4.30,3.50,3.00,3.70,4.70,5.50,4.90,4.50,4.00,4.10,3.70,6.40,6.80
41,9.40,7.40,6.00,6.70,8.50,9.80,11.50,10.80,9.40,8.80,8.00,6.30,5.80,5.40,5.50,6.40,7.40,7.00,5.40,4.90,5.70,5.70,5.70,5.50,5.10,6.40,7.50,8.10,7.30,6.20,5.30,5.20,6.50,11.30,10.60
42,8.00,7.70,6.90,6.90,8.00,8.40,11.20,11.50,9.10,8.00,6.90,5.60,5.00,4.70,5.50,7.00,7.60,7.00,6.30,5.90,5.40,5.10,4.60,4.40,4.10,4.80,5.60,5.70,5.40,5.00,4.60,4.40,5.30,8.00,8.50
44,8.20,8.00,6.60,6.40,7.20,7.80,9.70,8.30,5.50,4.60,4.10,3.60,3.10,4.10,6.30,8.60,8.90,7.70,6.90,6.30,5.40,5.10,4.60,4.20,4.10,4.60,5.00,5.30,5.20,5.00,4.90,5.20,7.80,11.00,11.20
45,7.20,6.90,5.70,5.00,6.70,8.10,11.10,9.90,6.90,6.90,6.40,5.50,4.70,4.60,4.80,6.10,6.70,7.30,6.20,5.20,5.80,4.60,3.80,4.30,3.80,5.20,5.80,6.90,6.80,6.70,6.40,5.70,6.80,11.20,11.20
46,3.30,3.30,3.10,3.40,4.80,5.00,5.50,5.20,4.40,4.80,4.60,4.20,4.10,4.00,3.80,3.50,3.30,3.40,3.30,3.00,3.20,2.90,2.80,2.70,2.50,3.10,3.20,3.50,3.70,3.80,3.10,2.80,3.10,4.90,5.00
47,6.10,6.20,5.80,5.80,7.40,9.00,11.70,11.50,8.50,7.90,7.90,6.60,5.80,5.10,5.30,6.80,6.50,5.80,4.80,5.20,5.20,5.30,4.30,4.00,3.90,4.60,5.20,5.60,5.30,5.60,5.20,4.70,6.60,10.50,9.70
48,5.80,5.30,4.80,4.30,5.10,5.30,6.90,7.90,6.10,7.00,8.80,8.40,7.30,6.70,6.30,6.90,7.60,7.20,6.50,6.10,5.70,5.30,4.90,4.70,4.30,5.00,6.40,6.70,5.90,5.40,4.90,4.30,4.80,7.60,8.10
49,5.60,5.10,3.80,4.30,6.20,6.60,8.20,8.70,6.50,6.00,6.10,6.20,5.00,4.50,4.40,4.70,4.80,4.10,3.80,3.50,3.40,3.20,3.60,3.50,3.30,4.40,5.80,5.60,5.00,4.10,3.00,2.60,3.60,7.30,7.80
50,8.30,7.00,5.60,5.10,6.20,5.80,7.00,6.40,5.10,4.80,4.30,3.60,3.00,3.50,5.00,6.60,6.10,5.20,4.60,4.30,4.30,3.90,3.40,3.00,2.80,3.30,4.00,4.30,3.70,3.50,3.70,4.00,4.70,6.60,6.10
51,5.90,5.50,5.30,4.70,5.20,6.00,7.40,6.40,5.10,5.50,5.00,4.30,3.90,3.90,4.50,5.90,6.30,5.20,4.90,4.50,4.40,3.80,2.90,2.70,2.30,3.20,4.20,4.10,3.80,3.60,3.10,3.00,3.90,6.70,7.10
53,8.90,8.50,6.90,6.60,8.10,9.60,11.90,11.10,9.30,8.40,8.10,7.30,6.30,5.90,5.20,6.30,7.30,7.30,6.60,6.40,6.10,4.90,4.80,4.90,5.20,6.30,7.40,7.40,6.30,5.60,5.00,4.70,5.40,9.20,10.00
54,7.30,6.90,6.20,6.90,9.50,10.60,14.00,17.80,14.80,13.10,11.80,10.80,9.80,8.60,8.50,10.60,11.30,10.60,8.80,7.90,7.50,6.90,6.60,6.50,5.50,5.00,5.90,6.00,5.30,5.10,4.90,4.60,4.30,7.70,8.70
55,5.50,5.10,5.00,4.60,7.20,8.00,10.50,10.20,7.40,7.20,7.00,5.90,4.40,4.30,4.40,5.50,5.10,4.80,4.50,3.80,3.60,3.60,3.40,3.10,3.50,4.50,5.40,5.70,5.00,4.70,4.70,4.90,4.90,8.60,8.70
56,4.00,3.40,3.00,2.70,3.90,4.10,6.20,8.20,6.30,6.90,8.90,8.00,6.50,6.10,5.30,5.20,5.60,5.30,5.00,4.80,4.90,4.80,4.70,4.60,3.90,3.80,4.00,4.30,3.80,3.60,3.20,2.80,3.10,6.30,6.40